Video Title,Author_Name,Like_Count,Comment
Psyco M - Plume,@SarahTabet-lk4mc,0,رمضان 2024 ❤
Psyco M - Plume,@mouadtouba,0,PLUME❤
Psyco M - Plume,@walidalexlacazette7761,0,19-3-2024 ❤❤❤
Psyco M - Plume,@st1souma490,0,2024❤
Psyco M - Plume,@itachiii01,0,2024
Psyco M - Plume,@user-si1sx5gh3q,0,Psyco m 🇹🇳<br>Diib  🇲🇦<br>Skorp  🇩🇿<br><br>🎧🖤🥀
Psyco M - Plume,@shinigami...5,0,ena zeda
Psyco M - Plume,@Yassine_Psy4,1,نحشم كيف نسمعك بلاش فلوس ❤💪
Psyco M - Plume,@user-dj6cs3zs8d,0,Psyco m 😍😍😍😍
Psyco M - Plume,@theeyesmot7482,0,From morocco best rapper  is pause <br>Fuck psyco m
Psyco M - Plume,@user-im9oh5ey9z,1,2024  وبش نقعد ديما نسمعك
Psyco M - Plume,@NOROTVDZ,1,🤍🇩🇿🤍🇩🇿🤍🇩🇿🤍🇩🇿🤍🇩🇿🤍🇩🇿
Psyco M - Plume,@logic7575,1,Meilleur chanson de tout les temps ! 😊
Psyco M - Plume,@Swichi_xd,0,مواقع التواصل الاجتماعي مش جوي لكل عملت شان يتيوب باش نكونسومي هل سلعة ❤2024/2
Psyco M - Plume,@user-kp4jf7ne1i,4,Chkoun yasma3 feha 2050
Psyco M - Plume,@joch7191,1,"The king of the world, ❤"
Psyco M - Plume,@user-lr5qe8nl2u,0,من 2013 وانا استمع لهذا الفن الراقي<br>اجمل أغنية راب في العالم
Psyco M - Plume,@OmarTabibox,0,2024❤
Psyco M - Plume,@hossnitahani6497,0,❤️
Psyco M - Plume,@chafiksouadia3565,0,17/02/2024
Psyco M - Plume,@SalahDine-gc3py,0,2024 و باقي كنرجع نهاد العظمة ❤️
Psyco M - Plume,@MohamedLkehal-fc7og,0,الجزائر الراي وتونس الراب 🤝
Psyco M - Plume,@ayoubdaroumazr4388,0,14/02/2024 Solo RcA🦅
Psyco M - Plume,@user-de6sx4kr3k,4,2024 chkoun mazel yasma3 ??
Psyco M - Plume,@AbboudiMohamed,0,2024🎉
Psyco M - Plume,@fayela2019,0,Philosophe merci
Psyco M - Plume,@clubafricain2410,0,أقوى غناية في تاريخ الراب  مبعدك أنت يموت الراب ❤❤❤
Psyco M - Plume,@amiiinff792,0,12_02_2024 تحفة فنية ♥️♥️♥️♥️
Psyco M - Plume,@DanIel-zj9in,0,شكون مزال يسمع فها 2024 قبل رمضان بشهر💪🏻💪🏻💪🏻
Psyco M - Plume,@user-dl9cc8jv3l,1,❤❤❤❤❤❤😢
Psyco M - Plume,@HAMMA_1st,0,"سنوات عديدة مضت، ولازالت افضل أغنية راب سمعتها في حياتي،"
Psyco M - Plume,@NOROTVDZ,1,2024 🤞🇩🇿💌🇵🇸💌🇹🇳
Psyco M - Plume,@Talibeni61516,0,شكون مزال يسمع فاها 2024❤
Psyco M - Plume,@user-jw2il9qt7k,0,🥺🫀
Psyco M - Plume,@user-rj5gj3ih5x,0,2024❤
Psyco M - Plume,@merouaneabkik,0,2024 ✨🥂
Psyco M - Plume,@merouaneabkik,0,2024 ✨🥂
Psyco M - Plume,@HamzaAyari-lh9ki,0,2024❤❤🎉
Psyco M - Plume,@bacemrekik1562,1,31/01/2024  leltaw mazelt nesma3 fiha kol mara ta3ti gou o5ra
Psyco M - Plume,@ayoubmadfar652,0,tunisie ahsen cha3b hit 3ndkom Psyco M❤
Psyco M - Plume,@user-bk1mg2qf1d,0,I still listen in 2024❤
Psyco M - Plume,@sarradaghari3980,0,❤️❤️❤️❤️
Psyco M - Plume,@hideyoshi.prod.,0,l taww
Psyco M - Plume,@Rbg0301,1,ادمان 2024 ❤ وصلت نكتب نفس لكتيبة
Psyco M - Plume,@wassim1326,1,Fi 2024
Psyco M - Plume,@user-vw6yq1lw7n,0,ا
Psyco M - Plume,@user-vw6yq1lw7n,0,في 2024 وسمعوها كان 5 ملاين 🤔🤔
Psyco M - Plume,@alaparis8113,0,2024 نسمع فيها ❤️
Psyco M - Plume,@iskandergd,0,Who is here ? January 2024 ! <br>Legendery song 🔥🎙️🎧
Psyco M - Plume,@saa4988,2,2024 ❤️🖤💚
Psyco M - Plume,@user-bk9ek5qg8u,0,بزاااف 🇲🇦
Psyco M - Plume,@alaagharbi1550,0,2024
Psyco M - Plume,@psycomentis6016,1,هانا هوني
Psyco M - Plume,@ahmedezzerai2030,2,2024 chkoum mzel yasmaa feha ❤
Psyco M - Plume,@jawharmanega1402,0,1
Psyco M - Plume,@nizarbenmoallem2824,0,تراك بنة ❤
Psyco M - Plume,@alexx_7776,0,2024 chkoun lenna ❤❤
Psyco M - Plume,@MedChanoufi548,0,2024
Psyco M - Plume,@nourheni4399,1,❤❤
Psyco M - Plume,@Ghazyhlali,1,2024 ❤🔥
Psyco M - Plume,@user-id2mx3gl5r,1,2024 w mzlt nsmeee3 fiiha
Psyco M - Plume,@wahebiwajdi8562,1,شكون يسمع فيها 2024😢
Psyco M - Plume,@user-rx7dt7tn5m,4,2024 شكون مزال يسمع فيها 💪💪
Psyco M - Plume,@user-jr3ti8fl1q,0,الراب الخاااتر
Psyco M - Plume,@ajenguikawther6117,1,Asma 2024
Psyco M - Plume,@ZlatanTN,3,تبقى Plume الـ Death Note متاع عالم الراب..يبقى Psyco-M أقوى ما فما في راب العالم العربي
Psyco M - Plume,@ZlatanTN,1,ناس هايجة على necrophilia &amp; zoophilia وأنا شاد الصف نعاود في ديسك Plume أقوى غناية في تاريخ Psyco-M  ☝🏼🫡❤️🖤
Psyco M - Plume,@DeadPool-ed9pb,1,مرحبا بالي يسمع في تيتر 2024
Psyco M - Plume,@Patchiinho,1,Shkoun mazal ysma3a 2024
Psyco M - Plume,@hamzaabderhim4595,2,2024❤
Psyco M - Plume,@kotakota-hp8mm,0,هذه الدنيا العفاطه الناس اللي تجري عليها. 💪☝️احسنت صنعا يمسكو ام. الحقيقه مورا كون كل فيلسوف في ترى الناس يتقاتلون على عدم وهم من عدم. مدرس بيل مونزع تحيه لك من عنابه.👍
Psyco M - Plume,@aboutrain8806,0,"شكون لتو يعاود يسمع فيها كيفي ، عالم اخر بصراحة .. 2024"
Psyco M - Plume,@Atef1207,0,احلا 11 دقيقة سمعتها في حياتي ❤
Psyco M - Plume,@MaryArtiste,0,💔🔥💔🔥
Psyco M - Plume,@khalilsallami4476,1,13/01/2024 💪
Psyco M - Plume,@henisoussia413,0,❤❤❤❤
Psyco M - Plume,@rayenmlayeh76,0,Janvier 2024
Psyco M - Plume,@MokhtarBakkar,1,كل الإحترام <br>🇹🇳 ❤ 🇩🇿
Psyco M - Plume,@user-wj1lg2pq8c,1,في 2024 قبل رمصان ب شهر
Psyco M - Plume,@Moomen200,1,انا من 2024 سوف أعود بعد 5سنين❤🇵🇸🇭🇰🇹🇳
Psyco M - Plume,@user-tp8lq3uz3t,1,2024....
Psyco M - Plume,@panda_officiell,1,2024🎉
Psyco M - Plume,@panda_officiell,0,2023❤❤
Psyco M - Plume,@3arabiall,100,Chkoon yasm3 fiha 2024😊
Psyco M - Plume,@khalilhamdi8463,0,دموعي شاحت في صغري ليوم شي ماقعد يبكيني !
Psyco M - Plume,@HazemAyadi-bn2en,0,افضل اغنيه راب سمعتها كلام عميييق لمخاخ كبيرة😬
Psyco M - Plume,@sadrikyahia7457,0,2024
Psyco M - Plume,@barobazlacoza8587,0,2024❤
Psyco M - Plume,@hitnees9207,0,2024❤
Psyco M - Plume,@Denx99,0,2024 ?
Psyco M - Plume,@nidhal360,0,Maiter wallah
Psyco M - Plume,@user-ib1nn2ng8w,0,2024
Psyco M - Plume,@user-on6xv8ee7i,0,Chkown mzal ysma3 fha 2024
Psyco M - Plume,@ahmedla3jej835,1,5 -1- 2024 <br>.الذهب عمرو ما يصدد
Psyco M - Plume,@jesserkhazri,0,2024
Psyco M - Plume,@bessemloulou,0,2024 klim dam 💔❤️
Psyco M - Plume,@zaoiliyoussef3344,0,2024 ❤❤
Psyco M - Plume,@rahmataharia9999,0,2024 و لطوا نسمع فيها ❤
Psyco M - Plume,@vrlanimals6868,0,شكون يسمع في 2024 😢
Psyco M - Plume,@alasaadi5070,0,El 8onaya netsawer thama n&#39;as mizalou yesm3ou faha 7atta fi 2023
Psyco M - Plume,@nightdancemusic8786,1,غناية صالحة لكل زمان 2024
Psyco M - Plume,@user-jr9gm2wj3u,0,2024 🎉❤
Psyco M - Plume,@zakariaerahhal6167,0,شكون مزال يسمعها في 2024 😢💔
Psyco M - Plume,@Coach_aziz_kahoueji,0,Next 2024 ❤️
Psyco M - Plume,@ademgn2329,0,30 décembre 2023 ❤
Psyco M - Plume,@OldFF1000,0,2023
Psyco M - Plume,@user-jz1gs5tj2l,0,2023 ومزلت نسمع فيها ❤❤ معلم والله
Psyco M - Plume,@ancondacrimnal6038,0,26/12/2023<br>Yo93d l titre hetha masterpiece 7ata mb3d 100 sna🔥🎧👑
Psyco M - Plume,@tizoo933,0,2024
Psyco M - Plume,@CA12_,1,Psyco m اخر 2023 يقعد ديما عندي هو التوب
Psyco M - Plume,@user-ww7pu5cu3u,0,23/11/2023 <br>2:23 am
Psyco M - Plume,@HD-bg4ph,1,23/12/2023
Psyco M - Plume,@piktik4719,0,2024😢مزال نسمعها كل يوم
Psyco M - Plume,@user-rs7rx1uw6q,0,الله ينصر اخواننا في فلسطين🇵🇸
Psyco M - Plume,@mlaiehislem40,0,2023 chkoun lenna ❤❤
Psyco M - Plume,@mohamedboukhrissi1819,0,2023🧠🤓
Psyco M - Plume,@dixter1,0,2023 ❤
Psyco M - Plume,@hamzakhabid,1,Respect from Morocco 👏
Psyco M - Plume,@user-ff9pi9yf9u,0,Chkwan mazle yasma3 faha 2024
Psyco M - Plume,@morad110,0,2023 12 18
Psyco M - Plume,@safadi.97,1,🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦
Psyco M - Plume,@user-js6ow3wt8h,0,men a9wa les rapeurs fi touns. psyco-M
Psyco M - Plume,@dahouabdelmalek892,0,12/12/2019 📌<br>12/12/2023 🌊
Psyco M - Plume,@rajawiroger6771,0,تحفة تونسية 2023 مزال تسمعو ليها 🇲🇦🔥🔥 5 سنين دبا انا كل مرة نسمع ليها جامي مليت منها
Psyco M - Plume,@rochdielmehdi4300,0,12/12/2023
Psyco M - Plume,@ak.8888.,0,2023💯💯
Psyco M - Plume,@elhadjmazouz3328,0,2024❤❤
Psyco M - Plume,@siwarsou1981,0,07/12/2023 🖤
Psyco M - Plume,@Ahmeed_kr12,0,🔥🔥
Psyco M - Plume,@samizamiltou7321,0,😍❤
Psyco M - Plume,@malekagili542,0,2023 مزلت نسمع فيها
Psyco M - Plume,@akazisakaziss7503,0,"Hypersensible, haut potentiel..."
Psyco M - Plume,@user-eu2dn7wk8j,1,شكون يسمعها في 2023 ❤❤😢
Psyco M - Plume,@FerjaniZeineb,0,Im here again
Psyco M - Plume,@user-ng8iq3td9g,0,النفسية محتاجة<br>Plume 2<br>هذي معاش تكفيني
Psyco M - Plume,@footforlife3266,0,ديسمبر 2023 للتو نسمع فالفن بالكلمات 🎉🎉
Psyco M - Plume,@salimlassiri3617,0,3/12/2023❤😢
Psyco M - Plume,@user-kj9ux9tx8u,0,2040 🎉🎉
Psyco M - Plume,@Alaa-zainab,0,💔🖤 chkoun yasma3 fiha 2023
Psyco M - Plume,@user-fm7bp3im6e,0,2023❤ this song when I listening it&#39;s touch something inside me😢
Psyco M - Plume,@ZnaguiAbdou,1,27/11/2023
Psyco M - Plume,@ramzilmoze8338,0,2023 ؟
Psyco M - Plume,@user-kq4mm4ll9y,0,Borjouliya Big Love 💗❤🤞🤞🪬🪬
Psyco M - Plume,@aymensb7608,0,في 2024😂
Psyco M - Plume,@kuroro_x9203,2,"زدت هاد الاغنيه  ف PLAYLIST هادي 8 سنين و  نسيتها ،  لقيتها صدفه اليوم ، طلعت احسن اغنيه اضفت للبلاي ليست و من احسن اغاني الراب اللي سمعت Psycho - M !! I&#39;ll remember this name"
Psyco M - Plume,@yassineokocha7577,10,23-11-2023 <br>تحفة فنية ستبقى الى الأبد<br>thanks Psyco ❤️
Psyco M - Plume,@user-wy9tv4ic6b,1,2023 🖤🫶
Psyco M - Plume,@user-qu5ui2er2w,2,شكون مزال يسمع 22/11/2023 ?
Psyco M - Plume,@kada920,0,ممكن عنوان ال instrumental?
Psyco M - Plume,@YoussefKabtni,2,nesm3ou fiha men 2017 ltawww w bnafs les émotions
Psyco M - Plume,@hajjibilel,1,"<a href=""https://www.youtube.com/watch?v=Li9PVsGp1wo&amp;t=132"">2:12</a>"
Psyco M - Plume,@hajjibilel,0,"<a href=""https://www.youtube.com/watch?v=Li9PVsGp1wo&amp;t=132"">2:12</a>"
Psyco M - Plume,@hajjibilel,1,✨🔥🤯
Psyco M - Plume,@sofieneouni7902,1,2023 w mezelt nasma3 feha ❤💯
Psyco M - Plume,@rayenbrabra4145,1,"<a href=""https://www.youtube.com/watch?v=Li9PVsGp1wo&amp;t=465"">7:45</a>"
Psyco M - Plume,@itachiii01,0,2023 ❤
Psyco M - Plume,@sirinebenzaide,4,12/11/2023<br>يمكن ميشوفها حد اما الي يشوف يحط جام
Psyco M - Plume,@Kuronoirblack,1,نوفمبر 2023 ❤️
Psyco M - Plume,@zinezizou6656,2,09/11/23❤
Psyco M - Plume,@chafimsaddak7935,0,2023
Psyco M - Plume,@MaryArtiste,0,الإبداع
Psyco M - Plume,@haithamaouina4912,0,"lyoum w ghodwa w lin nmout, bch teb9a hedhi a7sen ghneya smaat&#39;ha &lt;3"
Psyco M - Plume,@yossriwolf2548,0,💜
Psyco M - Plume,@zakirencero339,0,2023 🖤
Psyco M - Plume,@takwahamrouni7904,0,2023 mezellt me tal3att 7atte 8neya 5iir menha
Psyco M - Plume,@dadimohamed7213,0,"2023<br><a href=""https://www.youtube.com/watch?v=Li9PVsGp1wo&amp;t=691"">11:31</a><br>الاحد 5 نوفمبر<br>خليهاا تذكار لناا<br>❤"
Psyco M - Plume,@mkd99,0,"Çà c&#39;est du Rap, c&#39;est du lourd"
Psyco M - Plume,@GriraHakim-he9fg,0,Psyco m number 1  ❤❤❤
Psyco M - Plume,@leadersa03,0,Métaphore ❤
Psyco M - Plume,@kitchenworld1184,1,2024 the best ❤
Psyco M - Plume,@aladinaloui-wx2ce,0,💔🔥
Psyco M - Plume,@aladinaloui-wx2ce,2,شكون مزال يسمع فيها في 2023💔
